id,paper_id,primers,longitude,latitude,continent,sample_type,its1_extracted,its2_extracted,its_total,biome,mat,map,ph,year_of_start,year_of_end,abundances
3892,Odriozola_2021_QY,gITS7/ITS4,13.8968,48.8593,Europe,litter,0,19291,19291,forest,7,809,4.65,2016,2016,2
3923,Montagna_2018_E316,ITS1F/ITS4,9.63818,46.0953,Europe,soil,582318,102081,684399,grassland,2.9,1812,3.5,2014,2014,3
4156,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,156061,156061,grassland,9.2,881,6.35,2015,2015,1
4383,Bissett_AAAA_2016,ITS1F/ITS4,148.285,-42.173,Australia,soil,1023670,36245,1059915,forest,13.3,719,5.7,2013,2013,2
4704,Schutte_2019_CC10,gITS7/NLC2mod,-148.28,64.71,North America,soil,0,236169,236169,forest,-0.9,332,NA_,2012,2012,4
4727,Egidi_AD_2019,fITS7/ITS4,-71.75,43.94,North America,soil,0,131959,131959,grassland,5.9,938,5,2003,2015,50
4770,UOBC_2016_5CA6,ITS3/ITS4,-89.39,49.07,North America,soil,0,14504,14504,forest,1.9,724,NA_,2011,2011,20
5555,Samonil_2020_GB,gITS7/ITS4,14.7092,48.666,Europe,soil,0,14283,14283,forest,6.6,812,4.1,2015,2015,1
5581,Schutte_2019_CC10,gITS7/NLC2mod,-148.28,64.71,North America,soil,0,345363,345363,forest,-0.9,332,NA_,2012,2012,1
5660,Degrune_2019_E0AE,ITS3ngs mix/ITS4ngs,3.5325,50.5083,Europe,soil,0,129861,129861,cropland,10.7,758,5.5,2015,2015,4
5670,FelipeLucia_2020_QA,fITS7/ITS4,13.7376,52.9145,Europe,soil,0,37372,37372,forest,8.9,612,3.73,2011,2011,2
5887,Polackova_2016_KRTINY,gITS7/ITS4,16.6511,49.2654,Europe,soil,0,11254,11254,forest,8.8,515,5.39,2013,2013,2
6003,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,33858,33858,forest,1.6,512,4.98,2017,2017,10
6016,Samonil_2020_GB,gITS7/ITS4,14.7087,48.6656,Europe,soil,0,17371,17371,forest,6.6,812,4.5,2015,2015,1
6030,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,85378,85378,forest,1.6,512,4.98,2017,2017,4
6096,Bissett_AAAA_2016,ITS1F/ITS4,148.797,-35.4235,Australia,soil,417419,165887,583306,forest,9.2,1221,6.1,2013,2013,162
6135,FelipeLucia_2020_QA,fITS7/ITS4,13.8664,52.9249,Europe,soil,0,38905,38905,forest,8.9,579,3.615,2011,2011,3
6153,Mikryukov_2021_SP,fITS7/ITS4,59.425,56.801,Asia,litter,0,60407,60407,forest,1.7,556,5.645,2017,2017,1
6179,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.5785,59.1106,Europe,soil,3072,1942,5014,forest,5.5,653,NA_,2015,2015,4
6182,MerinoMartin_2020_c453,fITS7/ITS4,5.89,45.11,Europe,rhizosphere soil,0,20357,20357,forest,3.3,1554,5.3,2014,2014,1
6255,FelipeLucia_2020_QA,fITS7/ITS4,10.4051,51.1047,Europe,soil,0,29280,29280,forest,7.9,726,4.5,2011,2011,2
6345,MerinoMartin_2020_c453,fITS7/ITS4,5.89,45.1,Europe,rhizosphere soil,0,12050,12050,forest,4.4,1407,5.1,2014,2014,3
6362,Siles_2017_6F2C,ITS1F/ITS2,11.4347,46.5878,Europe,soil,163810,0,163810,forest,3,987,3.17,2015,2015,2
6403,Urcelay_2019_JT,fITS7/ITS4,-64.7507,-32.039,South America,soil,0,47642,47642,grassland,14.4,811,5.8,2014,2014,3
6685,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,58631,58631,forest,1.6,512,4.98,2017,2017,4
6766,Odriozola_2021_QY,gITS7/ITS4,13.3667,49.1457,Europe,litter,0,10252,10252,forest,6.3,863,4.07,2015,2015,38
6785,Franzetti_2020_GF,ITS1F/ITS2,10.584,46.4065,Europe,soil,355054,0,355054,tundra,-1.5,960,6.06,2015,2015,4
6872,MerinoMartin_2020_c453,fITS7/ITS4,5.89,45.1,Europe,rhizosphere soil,0,16751,16751,forest,4.4,1407,4.6,2014,2014,4
7071,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,162099,162099,grassland,9.2,881,6.35,2015,2015,8
7127,Franzetti_2020_GF,ITS1F/ITS2,10.584,46.4064,Europe,soil,440361,0,440361,tundra,-1.5,960,6.3,2015,2015,1
7211,Mikryukov_2021_SP,fITS7/ITS4,59.425,56.801,Asia,litter,0,68100,68100,forest,1.7,556,5.8,2017,2017,2
7542,Li_2021_mDU,fITS9/ITS4,-85.37,42.38,North America,soil,0,160717,160717,grassland,9.2,881,6.35,2015,2015,2
7575,Abrego_2020_CV,ITS_S2F + ITS3 mixed 1:1/ITS4,30.1733,62.6131,Europe,air,0,100989,100989,forest,2.5,731,NA_,2019,2019,6
7952,PradaSalcedo_2021_GT,fITS7/ITS4,26.05,47.28,Europe,soil,0,60547,60547,forest,5.3,798,4.6,2017,2017,1
8005,FelipeLucia_2020_QA,fITS7/ITS4,13.8473,52.9173,Europe,soil,0,41604,41604,forest,9,575,3.465,2011,2011,1
8263,Liu_2020_add,gITS7/ITS4,128.15,42.1833,Asia,soil,0,53543,53543,forest,2.1,971,5.19,2014,2014,3
8314,MerinoMartin_2020_c453,fITS7/ITS4,5.85,45.11,Europe,rhizosphere soil,0,26633,26633,forest,6.4,1414,4.3,2014,2014,11
8317,MerinoMartin_2020_c453,fITS7/ITS4,5.89,45.11,Europe,rhizosphere soil,0,23852,23852,forest,3.3,1554,4.9,2014,2014,34
8454,FelipeLucia_2020_QA,fITS7/ITS4,10.4562,51.2807,Europe,soil,0,41415,41415,grassland,8.2,709,7.25,2011,2011,1
8517,Bissett_AAAA_2016,ITS1F/ITS4,148.798,-35.4237,Australia,soil,389426,63588,453014,forest,9.2,1221,5,2013,2013,542
8521,Bissett_AAAA_2016,ITS1F/ITS4,148.799,-35.4214,Australia,soil,186482,60976,247458,forest,9.2,1221,5.7,2013,2013,1578
8522,Bissett_AAAA_2016,ITS1F/ITS4,148.281,-42.022,Australia,soil,162198,9436,171634,forest,13.4,700,7.5,2013,2013,53
8535,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.5434,58.4304,Europe,soil,3071,2690,5761,forest,5.7,629,NA_,2016,2016,2
8536,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.9637,58.5235,Europe,soil,13923,13237,27160,forest,5.5,655,NA_,2016,2016,4
8545,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.0577,57.7152,Europe,soil,3734,3250,6984,forest,4.6,744,NA_,2016,2016,1
8550,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.4553,58.3381,Europe,soil,3874,3157,7031,forest,5.6,660,NA_,2016,2016,2
8553,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.8208,58.4624,Europe,soil,4066,3810,7876,forest,5.6,604,NA_,2011,2011,2
8557,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.4524,57.5429,Europe,soil,792,773,1565,anthropogenic,5.9,644,NA_,2015,2015,1
8558,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.6948,58.6789,Europe,soil,3909,3661,7570,forest,5.9,718,NA_,2015,2015,1
